task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a4/392d76	31296	NFCORE_DEMO:DEMO:COWPY	COMPLETED	0	2026-07-13 18:02:47.960	805ms	61ms	122.3%	0	0	75.9 KB	241 B
4	e6/c84e54	31325	NFCORE_DEMO:DEMO:FASTQC (SAMPLE2_PE)	COMPLETED	0	2026-07-13 18:02:48.857	969ms	0ms	127.9%	5.6 MB	539 MB	1.3 MB	6.6 KB
6	4e/d4ab45	31377	NFCORE_DEMO:DEMO:FASTQC (SAMPLE3_SE)	COMPLETED	0	2026-07-13 18:02:49.842	1.5s	1s	114.8%	5.6 MB	539 MB	1.3 MB	6.6 KB
2	c3/0b591b	31421	NFCORE_DEMO:DEMO:FASTQC (SAMPLE1_PE)	COMPLETED	0	2026-07-13 18:02:49.978	1.5s	1s	117.6%	5.6 MB	539 MB	1.3 MB	6.6 KB
5	d0/0b9b92	31329	NFCORE_DEMO:DEMO:SEQTK_TRIM (SAMPLE2_PE)	COMPLETED	0	2026-07-13 18:02:48.863	2.6s	2s	102.5%	16.6 MB	2.1 GB	32.2 MB	31.8 MB
7	72/038804	31390	NFCORE_DEMO:DEMO:SEQTK_TRIM (SAMPLE3_SE)	COMPLETED	0	2026-07-13 18:02:49.861	2.9s	2s	103.6%	9.7 MB	1.1 GB	36.6 MB	36.2 MB
3	79/696c63	31423	NFCORE_DEMO:DEMO:SEQTK_TRIM (SAMPLE1_PE)	COMPLETED	0	2026-07-13 18:02:49.983	3.2s	3s	101.6%	16.7 MB	2.1 GB	41.9 MB	41.4 MB
8	f8/4ff6c9	31503	NFCORE_DEMO:DEMO:MULTIQC (demo)	COMPLETED	0	2026-07-13 18:02:53.247	2.2s	1.3s	282.2%	6.1 MB	538.2 MB	26.9 MB	325 B
